ID_CENSO;Date;SECTOR;Species;Individuals;Notes;Starting time;Finishing time;Cloudiness;Wind speed;Wind direction;Waves
CP19930317;17-mar-93;ZACA;Egretta garzetta;1;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;ZACA;Larus sp.;30;L.fuscus / L.michahellis;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;ZACA;Sterna sandvicensis;11;-;12:45;14:00;0;2;E;0
CP19930324;24-mar-93;CAMA;Calidris alba;250;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;CAMA;Haematopus ostralegus;6;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;CAMA;Larus audouinii;1;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;CAMA;Larus fuscus;145;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;CAMA;Larus michahellis;5;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;CAMA;Larus sp.;200;L.fuscus / L.michahellis;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;CAMA;Sterna hirundo;15;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;CAMA;Sterna sandvicensis;96;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Calidris alba;5;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Chroicocephalus genei;1;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Chroicocephalus ridibundus;8;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Haematopus ostralegus;100;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Himantopus himantopus;11;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Larus audouinii;2;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Larus fuscus;255;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Larus melanocephalus;2;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Larus michahellis;21;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Melanitta nigra;21;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Stercorarius skua;1;-;10:45;12:00;0;1;N;0
CP19930324;24-mar-93;MAZA;Sterna hirundo;2;-;10:45;12:00;0;1;N;0
